Batch Number,Registration Date,902.000000,903.524230,907.048460,910.572690,914.096920,917.621140,921.145370,924.669600,928.193830,931.718060,935.242290,938.766520,942.290750,945.814980,949.339210,952.863430,956.387660,959.911890,963.436120,966.960350,970.484580,974.008810,977.533040,981.057270,984.581500,988.105730,991.629950,995.154180,998.678410,1002.202600,1005.726900,1009.251100,1012.775300,1016.299600,1019.823800,1023.348000,1026.872200,1030.396500,1033.920700,1037.444900,1040.969200,1044.493400,1048.017600,1051.541800,1055.066100,1058.590300,1062.114500,1065.638800,1069.163000,1072.687200,1076.211500,1079.735700,1083.259900,1086.784100,1090.308400,1093.832600,1097.356800,1100.881100,1104.405300,1107.929500,1111.453700,1114.978000,1118.502200,1122.026400,1125.550700,1129.074900,1132.599100,1136.123300,1139.647600,1143.171800,1146.696000,1150.220300,1153.744500,1157.268700,1160.792900,1164.317200,1167.841400,1171.365600,1174.889900,1178.414100,1181.938300,1185.462500,1188.986800,1192.511000,1196.035200,1199.559500,1203.083700,1206.607900,1210.132200,1213.656400,1217.180600,1220.704800,1224.229100,1227.753300,1231.277500,1234.801800,1238.326000,1241.850200,1245.374400,1248.898700,1252.422900,1255.947100,1259.471400,1262.995600,1266.519800,1270.044000,1273.568300,1277.092500,1280.616700,1284.141000,1287.665200,1291.189400,1294.713600,1298.237900,1301.762100,1305.286300,1308.810600,1312.334800,1315.859000,1319.383300,1322.907500,1326.431700,1329.955900,1333.480200,1337.004400,1340.528600,1344.052900,1347.577100,1351.101300,1354.625500,1358.149800,1361.674000,1365.198200,1368.722500,1372.246700,1375.770900,1379.295100,1382.819400,1386.343600,1389.867800,1393.392100,1396.916300,1400.440500,1403.964700,1407.489000,1411.013200,1414.537400,1418.061700,1421.585900,1425.110100,1428.634400,1432.158600,1435.682800,1439.207000,1442.731300,1446.255500,1449.779700,1453.304000,1456.828200,1460.352400,1463.876600,1467.400900,1470.925100,1474.449300,1477.973600,1481.497800,1485.022000,1488.546200,1492.070500,1495.594700,1499.118900,1502.643200,1506.167400,1509.691600,1513.215800,1516.740100,1520.264300,1523.788500,1527.312800,1530.837000,1534.361200,1537.885400,1541.409700,1544.933900,1548.458100,1551.982400,1555.506600,1559.030800,1562.555100,1566.079300,1569.603500,1573.127700,1576.652000,1580.176200,1583.700400,1587.224700,1590.748900,1594.273100,1597.797300,1601.321600,1604.845800,1608.370000,1611.894300,1615.418500,1618.942700,1622.466900,1625.991200,1629.515400,1633.039600,1636.563900,1640.088100,1643.612300,1647.136500,1650.660800,1654.185000,1657.709200,1661.233500,1664.757700,1668.281900,1671.806200,1675.330400,1678.854600,1682.378800,1685.903100,1689.427300,1692.951500,1696.475800,1700.000000
'NASTZ_3_INF_T_32_52','07/08/2026 15:47:16',0.007309,0.006644,0.007602,0.009113,0.008260,0.007738,0.007745,0.006705,0.007158,0.007533,0.006871,0.006948,0.007251,0.007356,0.007478,0.007159,0.006709,0.006458,0.007056,0.007864,0.008254,0.008664,0.008644,0.010052,0.010523,0.010962,0.011739,0.012341,0.012699,0.013166,0.013201,0.012767,0.012680,0.012512,0.012214,0.011932,0.011826,0.012025,0.012096,0.012167,0.012963,0.013559,0.013881,0.014652,0.014310,0.014379,0.014709,0.014633,0.014454,0.014721,0.014471,0.013969,0.014432,0.014341,0.014589,0.015015,0.015500,0.016823,0.019540,0.023606,0.028088,0.031506,0.032693,0.033542,0.037087,0.042739,0.048122,0.051216,0.049522,0.045171,0.041207,0.038420,0.037187,0.037609,0.039178,0.041181,0.043284,0.044844,0.046069,0.047259,0.047479,0.046571,0.045170,0.043779,0.042620,0.041694,0.041678,0.041613,0.041698,0.042012,0.041934,0.041751,0.041529,0.040071,0.037973,0.035895,0.034261,0.033490,0.033267,0.033047,0.033090,0.033665,0.034220,0.034698,0.034753,0.034408,0.034192,0.034374,0.034652,0.034711,0.035084,0.035491,0.036082,0.036954,0.037697,0.038228,0.038639,0.039067,0.039140,0.038790,0.038511,0.038720,0.039261,0.040270,0.041483,0.043074,0.044795,0.047909,0.051593,0.054788,0.057399,0.059194,0.061364,0.063780,0.066898,0.069929,0.072176,0.074952,0.082540,0.093608,0.097119,0.091415,0.086967,0.087616,0.089731,0.093267,0.097406,0.101773,0.106438,0.111018,0.115070,0.118081,0.120815,0.122302,0.124197,0.125492,0.126916,0.129142,0.130907,0.132586,0.134576,0.136257,0.138090,0.139136,0.140221,0.141033,0.142130,0.144039,0.145699,0.147338,0.149981,0.153784,0.157138,0.161073,0.164111,0.167254,0.170224,0.172403,0.172846,0.174095,0.175105,0.176985,0.178595,0.180000,0.181630,0.184415,0.187624,0.190779,0.194176,0.196725,0.198084,0.198447,0.199144,0.199154,0.200679,0.201944,0.203028,0.204963,0.206534,0.207107,0.208316,0.208813,0.210589,0.210133,0.212574,0.213158,0.215894,0.219397,0.226104,0.233963,0.236357,0.234415,0.231513,0.229166,0.229462,0.231457,0.236932,0.241608,0.246384,0.247008,0.245887,0.243278,0.238469,0.239997,0.238106,0.236454,0.232766,0.228874
'NASTZ_3_INF_T_32_52','07/08/2026 15:40:42',0.007447,0.007977,0.008021,0.007920,0.008016,0.007510,0.008393,0.007469,0.007275,0.007535,0.007149,0.006997,0.006882,0.007124,0.007646,0.007134,0.006753,0.006808,0.007128,0.007659,0.008320,0.008757,0.008676,0.009813,0.010845,0.011239,0.011607,0.012360,0.012779,0.012740,0.013032,0.012975,0.012734,0.012456,0.012210,0.012075,0.011920,0.012009,0.012150,0.012322,0.013100,0.013665,0.014207,0.014541,0.014513,0.014475,0.014430,0.014742,0.014757,0.014511,0.014316,0.014035,0.014313,0.014438,0.014678,0.015191,0.015871,0.016920,0.019572,0.023591,0.027935,0.031145,0.032414,0.033587,0.037258,0.043023,0.048155,0.051011,0.049476,0.045098,0.041333,0.038418,0.037232,0.037485,0.038915,0.041083,0.043457,0.045181,0.046484,0.047391,0.047349,0.046700,0.045258,0.043761,0.042553,0.041510,0.041721,0.041596,0.041777,0.041850,0.042147,0.041776,0.041418,0.039821,0.037708,0.036044,0.034456,0.033354,0.032934,0.032953,0.033171,0.033667,0.034344,0.034922,0.034825,0.034261,0.034298,0.034443,0.034535,0.034604,0.034795,0.035648,0.036149,0.036927,0.037599,0.038243,0.038638,0.039112,0.039008,0.038870,0.038540,0.038608,0.039006,0.040070,0.041440,0.043160,0.045081,0.048132,0.051499,0.055115,0.057387,0.059227,0.061393,0.063952,0.067006,0.069894,0.072188,0.075039,0.082646,0.093999,0.097442,0.091518,0.087121,0.087883,0.090139,0.093723,0.097682,0.101921,0.106775,0.111681,0.115541,0.118608,0.121055,0.122773,0.124492,0.126162,0.127626,0.129343,0.131491,0.132944,0.135115,0.136789,0.138560,0.139479,0.140567,0.141598,0.142511,0.144235,0.145972,0.147776,0.150369,0.154012,0.157590,0.160789,0.164273,0.167646,0.170535,0.172608,0.173135,0.174379,0.175333,0.177162,0.178464,0.180313,0.181755,0.184455,0.187453,0.191046,0.194317,0.196799,0.198450,0.198577,0.198774,0.199777,0.201197,0.202190,0.203672,0.204996,0.206340,0.207198,0.208104,0.209035,0.210344,0.211146,0.211840,0.212919,0.215902,0.219819,0.226066,0.233682,0.237665,0.234293,0.231662,0.229778,0.229120,0.231927,0.236328,0.242083,0.245944,0.248045,0.244661,0.240390,0.235183,0.234949,0.235180,0.233441,0.228309,0.226017
'NASTZ_3_INF_T_32_52','07/08/2026 15:35:31',0.018135,0.018466,0.018741,0.018377,0.018632,0.019213,0.018068,0.017361,0.017998,0.017980,0.017601,0.017535,0.017202,0.017920,0.018898,0.018638,0.017630,0.017692,0.018192,0.018664,0.019665,0.019957,0.020462,0.021164,0.021977,0.022421,0.023249,0.023958,0.024329,0.024938,0.025112,0.025176,0.025096,0.025046,0.024719,0.024398,0.024333,0.024785,0.025073,0.025207,0.026028,0.026409,0.026969,0.027542,0.027489,0.027557,0.027289,0.027216,0.027207,0.026891,0.026395,0.025939,0.026161,0.026149,0.026021,0.025806,0.026478,0.027698,0.030239,0.033990,0.038271,0.041475,0.042426,0.043280,0.046842,0.052277,0.057330,0.059978,0.058421,0.054674,0.051419,0.048713,0.047455,0.048116,0.049748,0.052052,0.054270,0.055784,0.057203,0.058312,0.058443,0.057803,0.056884,0.055128,0.054479,0.053723,0.053696,0.053827,0.054150,0.054334,0.054402,0.054368,0.054029,0.052368,0.050680,0.048876,0.047123,0.046040,0.045577,0.045647,0.045779,0.046151,0.046869,0.047252,0.047198,0.046909,0.046823,0.046854,0.047130,0.047119,0.047200,0.047965,0.048397,0.049011,0.049748,0.050550,0.050886,0.051202,0.051372,0.051045,0.050717,0.050882,0.051300,0.052163,0.053514,0.055140,0.056984,0.059814,0.063160,0.066138,0.068586,0.070570,0.072886,0.075156,0.077879,0.080666,0.082703,0.085613,0.092976,0.103586,0.106954,0.101676,0.097448,0.098059,0.100362,0.104070,0.107970,0.112249,0.116811,0.121369,0.125304,0.128406,0.130916,0.132319,0.134259,0.135634,0.137505,0.138959,0.141168,0.142626,0.144277,0.145649,0.147138,0.148220,0.149044,0.150097,0.150848,0.152374,0.153559,0.154878,0.157020,0.159535,0.163020,0.165989,0.168301,0.170672,0.173242,0.174657,0.175701,0.176484,0.177350,0.178415,0.179815,0.181230,0.182375,0.184707,0.187586,0.190347,0.193125,0.195060,0.196514,0.196930,0.197127,0.198207,0.199144,0.200758,0.201691,0.203615,0.205476,0.206544,0.207276,0.208301,0.209377,0.210928,0.212551,0.214218,0.217193,0.221027,0.227154,0.234397,0.238761,0.237006,0.235053,0.234499,0.235038,0.237599,0.242968,0.248655,0.253593,0.254565,0.253614,0.249846,0.247440,0.250606,0.248028,0.244801,0.244054,0.243657
'NASTZ_3_INF_T_32_52','07/08/2026 15:27:07',0.028005,0.026701,0.025936,0.027270,0.028026,0.027647,0.026669,0.027054,0.027043,0.026116,0.026052,0.026320,0.026056,0.026238,0.025788,0.025013,0.024967,0.025392,0.025596,0.025860,0.026264,0.026733,0.027547,0.027776,0.028921,0.029544,0.029726,0.030205,0.030695,0.030820,0.031044,0.031056,0.031070,0.030927,0.030659,0.030218,0.030165,0.030438,0.030797,0.030943,0.030930,0.031921,0.032369,0.032834,0.033102,0.032784,0.032492,0.032798,0.033210,0.033079,0.032906,0.032988,0.032742,0.032655,0.033060,0.033562,0.034238,0.035696,0.038076,0.042171,0.046717,0.049802,0.051438,0.052828,0.055830,0.061498,0.066921,0.069783,0.068376,0.064516,0.059869,0.057455,0.056188,0.056349,0.058170,0.060648,0.062403,0.063981,0.065475,0.066365,0.066838,0.066074,0.064296,0.063283,0.062062,0.061283,0.061158,0.061156,0.061464,0.061520,0.061851,0.062015,0.061345,0.059851,0.057842,0.055895,0.054180,0.053459,0.053025,0.052720,0.052971,0.053633,0.054236,0.054448,0.054488,0.054407,0.054126,0.054225,0.054732,0.054838,0.055119,0.055602,0.056271,0.056971,0.057907,0.058429,0.059015,0.059229,0.059187,0.059022,0.058834,0.058853,0.059477,0.060427,0.061655,0.063203,0.065370,0.068237,0.071864,0.075121,0.077694,0.079602,0.081597,0.083917,0.087327,0.090130,0.092445,0.095145,0.102953,0.114314,0.117589,0.111956,0.107604,0.108334,0.110721,0.114015,0.118246,0.122643,0.127038,0.131912,0.136140,0.139327,0.141353,0.143304,0.145062,0.146614,0.148260,0.150289,0.152150,0.153598,0.155467,0.157061,0.158764,0.160302,0.161147,0.162031,0.163046,0.164505,0.166167,0.168518,0.171125,0.174211,0.178119,0.181751,0.184406,0.187316,0.190586,0.192414,0.192733,0.194136,0.195602,0.197023,0.198283,0.199404,0.201693,0.203239,0.206744,0.209899,0.213130,0.215492,0.217016,0.217127,0.217172,0.218307,0.219134,0.220767,0.221879,0.223337,0.225148,0.226143,0.226601,0.227369,0.228036,0.229031,0.230773,0.232300,0.234078,0.238650,0.245777,0.252394,0.255716,0.255712,0.250311,0.249218,0.248929,0.252104,0.257102,0.262624,0.266206,0.268218,0.265114,0.259873,0.256441,0.257320,0.252547,0.251853,0.247547,0.245869
'NASTZ_3_INF_T_32_52','07/08/2026 15:20:00',0.018628,0.017488,0.017651,0.019776,0.019489,0.018024,0.018453,0.018417,0.018700,0.018938,0.018566,0.018204,0.018209,0.018543,0.018072,0.017336,0.017130,0.017307,0.017876,0.018222,0.018139,0.018974,0.019832,0.020224,0.021042,0.021605,0.022126,0.022632,0.022670,0.022633,0.022949,0.022830,0.022725,0.022871,0.022273,0.022000,0.021922,0.022095,0.022490,0.022672,0.023283,0.023744,0.024070,0.023922,0.024269,0.024429,0.024102,0.024236,0.024624,0.024141,0.023959,0.024197,0.023734,0.023885,0.024095,0.024696,0.025525,0.026934,0.029500,0.033525,0.037713,0.041055,0.042618,0.043821,0.047291,0.052560,0.057978,0.060504,0.059555,0.055477,0.051085,0.048290,0.047167,0.047421,0.049237,0.051356,0.053299,0.055420,0.056690,0.057516,0.057917,0.057013,0.055519,0.054247,0.053189,0.051998,0.052466,0.052519,0.052779,0.052992,0.053247,0.053172,0.052702,0.051056,0.048920,0.047074,0.045318,0.044619,0.044113,0.043799,0.044226,0.044557,0.045010,0.045502,0.045562,0.045416,0.045093,0.045248,0.045399,0.045468,0.045704,0.046221,0.047066,0.047632,0.048655,0.049402,0.049723,0.049995,0.049777,0.049821,0.049606,0.049590,0.050240,0.051322,0.052777,0.054235,0.056239,0.059010,0.062707,0.066213,0.068659,0.070633,0.072893,0.075040,0.078262,0.081234,0.083650,0.086281,0.094108,0.106017,0.109449,0.103721,0.099327,0.099892,0.102262,0.106022,0.110301,0.114716,0.119541,0.124162,0.128292,0.131836,0.134186,0.135903,0.137828,0.139223,0.140967,0.142574,0.144443,0.146433,0.147986,0.149806,0.151344,0.152855,0.153862,0.154956,0.155777,0.157016,0.158829,0.160760,0.163737,0.166748,0.170881,0.174233,0.177360,0.180890,0.183984,0.185505,0.186008,0.187041,0.188354,0.189978,0.191120,0.192867,0.194697,0.196574,0.199714,0.203608,0.207176,0.209429,0.210767,0.211088,0.211002,0.211267,0.213012,0.214496,0.215494,0.217094,0.218657,0.219414,0.219652,0.220414,0.221269,0.222050,0.223676,0.225005,0.226492,0.230973,0.238349,0.244243,0.247276,0.246589,0.241223,0.239805,0.240045,0.242147,0.247093,0.253071,0.255845,0.256576,0.253372,0.248897,0.241897,0.240956,0.239025,0.238790,0.231462,0.232897
'NASTZ_3_INF_T_32_52','07/08/2026 15:18:49',0.018983,0.018088,0.017852,0.018424,0.017981,0.017867,0.017833,0.017796,0.017907,0.017743,0.017341,0.017509,0.017880,0.017584,0.017253,0.016744,0.016740,0.016618,0.016614,0.017269,0.017895,0.018421,0.018840,0.019458,0.020536,0.020884,0.021677,0.022291,0.022120,0.022429,0.022731,0.022517,0.022246,0.022283,0.022093,0.022011,0.021641,0.021673,0.022022,0.022081,0.022696,0.023082,0.023906,0.023684,0.024039,0.023902,0.023612,0.023885,0.024166,0.023985,0.023781,0.023824,0.023706,0.023535,0.023795,0.024454,0.024760,0.026513,0.029244,0.033021,0.037609,0.040558,0.041729,0.043141,0.046624,0.052505,0.057753,0.060575,0.059455,0.054931,0.050952,0.047831,0.046643,0.047003,0.048990,0.051192,0.052911,0.054677,0.055894,0.056937,0.057418,0.056600,0.055336,0.053987,0.052667,0.051906,0.051989,0.052148,0.052379,0.052472,0.052685,0.052822,0.052134,0.050539,0.048524,0.046514,0.044765,0.043997,0.043645,0.043456,0.043763,0.044266,0.044692,0.045073,0.045133,0.044871,0.044761,0.044959,0.045098,0.045184,0.045477,0.046008,0.046672,0.047328,0.048331,0.048926,0.049321,0.049653,0.049737,0.049408,0.049159,0.049228,0.049780,0.050771,0.052140,0.053633,0.055866,0.058794,0.062428,0.065827,0.068163,0.070333,0.072543,0.074741,0.078085,0.080870,0.083287,0.085889,0.093725,0.105639,0.109161,0.103342,0.098673,0.099352,0.101941,0.105512,0.109637,0.114499,0.119131,0.123740,0.128118,0.131484,0.133554,0.135594,0.137355,0.138831,0.140571,0.142343,0.144286,0.145960,0.147904,0.149400,0.151220,0.152681,0.153622,0.154396,0.155344,0.156734,0.158585,0.160609,0.163477,0.166451,0.170596,0.174007,0.177108,0.180298,0.183253,0.185191,0.185665,0.186583,0.188166,0.189593,0.191236,0.192405,0.194431,0.196307,0.199666,0.203268,0.206396,0.209018,0.210490,0.210420,0.211068,0.211446,0.212807,0.213824,0.215093,0.216866,0.218266,0.219504,0.219415,0.220260,0.221016,0.222238,0.223368,0.224849,0.226458,0.230715,0.237760,0.245004,0.247280,0.245861,0.241582,0.239389,0.240030,0.242691,0.247060,0.252484,0.255912,0.256129,0.251828,0.247473,0.242184,0.239588,0.237780,0.236020,0.231882,0.231823
'NASTZ_3_INF_T_32_52','07/08/2026 15:16:20',0.018594,0.018854,0.017779,0.017135,0.018233,0.017977,0.017530,0.017872,0.018456,0.017744,0.017224,0.017449,0.017319,0.017880,0.017833,0.017067,0.016402,0.016462,0.016896,0.017374,0.017747,0.018030,0.018845,0.019379,0.020606,0.021118,0.021251,0.021771,0.022169,0.022258,0.022562,0.022353,0.022492,0.022279,0.021712,0.021548,0.021357,0.021541,0.022030,0.022058,0.022631,0.023268,0.023691,0.023781,0.023950,0.023989,0.023430,0.023512,0.024099,0.023709,0.023349,0.023548,0.023434,0.023515,0.023818,0.024685,0.024897,0.026427,0.028958,0.032883,0.037662,0.040766,0.042016,0.043348,0.046595,0.052117,0.057531,0.060340,0.059189,0.054857,0.050509,0.048056,0.046822,0.046962,0.048914,0.051165,0.052890,0.054713,0.056181,0.057177,0.057555,0.056587,0.054785,0.053820,0.052811,0.052044,0.052081,0.052015,0.052413,0.052395,0.052718,0.052628,0.052070,0.050542,0.048382,0.046624,0.044763,0.044002,0.043516,0.043135,0.043533,0.044023,0.044639,0.045193,0.044971,0.044754,0.044652,0.044617,0.044749,0.044912,0.045246,0.045786,0.046515,0.047393,0.048247,0.048802,0.049299,0.049386,0.049534,0.049275,0.049041,0.049189,0.049683,0.050942,0.052266,0.053754,0.055825,0.058679,0.062313,0.065800,0.068229,0.070162,0.072388,0.074690,0.077838,0.080900,0.083333,0.085959,0.093827,0.105510,0.108872,0.103247,0.098890,0.099671,0.102168,0.105583,0.110071,0.114533,0.119121,0.124030,0.128294,0.131586,0.134015,0.135707,0.137352,0.138868,0.140751,0.142769,0.144385,0.146136,0.147949,0.149481,0.151192,0.152789,0.153945,0.154715,0.155567,0.156913,0.158509,0.160677,0.163626,0.166533,0.170360,0.174001,0.177081,0.180442,0.183437,0.185007,0.185925,0.186463,0.188100,0.189884,0.191188,0.192535,0.193928,0.196364,0.199628,0.203405,0.206713,0.209179,0.210742,0.210863,0.210713,0.211616,0.212924,0.214460,0.215354,0.217100,0.218215,0.219258,0.219283,0.219855,0.221715,0.222090,0.223509,0.224422,0.226543,0.230734,0.237710,0.244606,0.246625,0.245814,0.241378,0.240146,0.240236,0.241614,0.247519,0.252163,0.254926,0.256138,0.253326,0.247589,0.243620,0.240330,0.240487,0.234849,0.230457,0.235825
'NASTZ_3_INF_T_32_52','07/08/2026 15:13:44',0.017144,0.016329,0.015957,0.017185,0.018024,0.017890,0.017468,0.017399,0.017030,0.017416,0.017285,0.016728,0.017483,0.017373,0.017140,0.017267,0.016745,0.016200,0.016968,0.017704,0.017475,0.018116,0.018919,0.019118,0.020452,0.020737,0.020818,0.021889,0.022424,0.022035,0.022448,0.022217,0.022095,0.021910,0.021785,0.021490,0.021262,0.021460,0.022102,0.022578,0.022433,0.022720,0.023423,0.023450,0.023545,0.023608,0.023442,0.023491,0.023758,0.023688,0.023485,0.023553,0.023496,0.023408,0.023956,0.024464,0.024901,0.026236,0.029029,0.033121,0.037173,0.040338,0.041973,0.043352,0.046636,0.051658,0.057429,0.060270,0.059090,0.054938,0.050615,0.047553,0.046731,0.047056,0.048780,0.051093,0.052724,0.054546,0.055979,0.056852,0.057337,0.056459,0.054905,0.053732,0.052575,0.051732,0.051458,0.051946,0.052446,0.052296,0.052580,0.052528,0.052089,0.050564,0.048250,0.046482,0.044649,0.043924,0.043351,0.043146,0.043572,0.043938,0.044460,0.044752,0.044865,0.044699,0.044637,0.044688,0.044881,0.045009,0.045128,0.045730,0.046359,0.046969,0.048103,0.048753,0.049071,0.049589,0.049337,0.049178,0.049081,0.048929,0.049610,0.050887,0.051989,0.053549,0.055653,0.058434,0.062312,0.065577,0.068025,0.070052,0.072256,0.074516,0.077847,0.080939,0.083168,0.085720,0.093810,0.105551,0.108955,0.103298,0.098751,0.099556,0.101989,0.105652,0.109842,0.114379,0.119222,0.124049,0.128279,0.131609,0.134017,0.135859,0.137665,0.139078,0.140754,0.142512,0.144377,0.146236,0.148076,0.149912,0.151315,0.152719,0.153596,0.154725,0.155588,0.156973,0.158436,0.160871,0.163656,0.166865,0.170446,0.174231,0.177143,0.180014,0.183205,0.185166,0.185605,0.186675,0.188306,0.189852,0.191295,0.192682,0.194283,0.196309,0.199915,0.203278,0.206451,0.208844,0.210334,0.210466,0.210806,0.211678,0.213037,0.214220,0.215206,0.216662,0.218685,0.218949,0.219434,0.220401,0.220614,0.221806,0.223215,0.225378,0.226661,0.230458,0.237804,0.244550,0.248160,0.245039,0.241542,0.239768,0.240196,0.242190,0.247209,0.251484,0.256251,0.255804,0.252810,0.249468,0.243447,0.242371,0.238692,0.239494,0.234237,0.233263
'NASTZ_3_INF_T_32_52','07/08/2026 15:08:31',0.017713,0.016977,0.017899,0.018150,0.016728,0.017851,0.017371,0.017297,0.017666,0.017127,0.016360,0.016587,0.016802,0.016532,0.017010,0.016604,0.016094,0.016263,0.016675,0.017177,0.017560,0.017790,0.018909,0.019104,0.020284,0.020690,0.020826,0.021486,0.021794,0.021455,0.021791,0.022191,0.021781,0.021495,0.021087,0.020875,0.021142,0.021376,0.021435,0.021719,0.022046,0.022521,0.023020,0.023096,0.023094,0.023316,0.023121,0.023053,0.023527,0.023438,0.023092,0.023075,0.022890,0.023024,0.023387,0.023961,0.024770,0.026019,0.028399,0.032463,0.036773,0.039893,0.041585,0.042998,0.046132,0.051728,0.057282,0.059776,0.059090,0.054656,0.050504,0.047399,0.046375,0.046664,0.048429,0.050906,0.052605,0.054249,0.055685,0.056706,0.057189,0.056293,0.054834,0.053524,0.052442,0.051759,0.051335,0.051953,0.051934,0.051923,0.052222,0.052342,0.051786,0.050162,0.048126,0.046282,0.044308,0.043583,0.043329,0.043007,0.043225,0.043690,0.044106,0.044634,0.044615,0.044248,0.044213,0.044270,0.044407,0.044657,0.044870,0.045501,0.046125,0.046771,0.047806,0.048192,0.048830,0.048956,0.048925,0.048767,0.048569,0.048708,0.049310,0.050355,0.051754,0.053240,0.055386,0.058251,0.061922,0.065309,0.067715,0.069740,0.071956,0.074399,0.077366,0.080491,0.082894,0.085506,0.093342,0.105078,0.108625,0.103184,0.098825,0.099303,0.101940,0.105681,0.109893,0.114380,0.119145,0.123847,0.128375,0.131693,0.134047,0.135694,0.137695,0.139311,0.140954,0.142703,0.144516,0.146316,0.148251,0.149943,0.151465,0.152647,0.154053,0.154762,0.155697,0.157027,0.158343,0.160495,0.163387,0.166484,0.170384,0.174086,0.176712,0.180422,0.183188,0.184839,0.185307,0.185992,0.187875,0.189478,0.190810,0.192291,0.193877,0.195824,0.199282,0.202926,0.206297,0.208831,0.210143,0.210240,0.210463,0.211065,0.212194,0.213397,0.214689,0.216429,0.217863,0.219012,0.218172,0.219147,0.220627,0.220940,0.222438,0.223853,0.225550,0.229601,0.236220,0.243246,0.245740,0.244586,0.241386,0.238152,0.238811,0.242064,0.246257,0.250711,0.254423,0.255739,0.252653,0.248855,0.243829,0.242733,0.241390,0.239056,0.231354,0.232440
